序号,项目,代码,预计募集（亿）,实际募集（亿）,发行时间,二级市场价格,底价,底价折扣,发行价,发行折扣,发行对象数量,解禁日期,解禁后收益,市场价格,解禁价格,价格不同
201.0,聚飞光电,300303.SZ,6.0,5.9999999895,2015-11-20 12:00:00,10.49,8.89,0.8474737845567207,9.13,0.8703527168732127,4.0,2016-12-14 00:00:00,0.9627601314348303,10.49,8.74,False
202.0,红阳能源,600758.SH,19.8379247143,19.8379246878,2015-11-27 12:00:00,14.1,6.72,0.4765957446808511,8.01,0.5680851063829787,9.0,2016-12-16 00:00:00,1.3720349563046192,14.1,10.99,False
203.0,宋城演艺,300144.SZ,6.5,6.4999998828,2015-11-25 12:00:00,31.67,25.09,0.7922323965898326,29.88,0.943479633722766,3.0,2016-12-16 00:00:00,0.7051539491298527,31.67,21.0,False
204.0,海南瑞泽,002596.SZ,2.5,2.4999999886,2015-11-25 12:00:00,26.98,11.45,0.42438843587842845,20.11,0.7453669384729429,5.0,2016-12-16 00:00:00,1.339632023868722,26.98,26.91,False
205.0,东旭光电,000413.SZ,80.0,79.999999805,2015-11-06 12:00:00,8.97,6.74,0.7513935340022296,6.82,0.7603121516164995,8.0,2016-12-19 00:00:00,1.6818181818181819,8.97,11.4,False
206.0,千方科技,002373.SZ,18.0,17.9999996432,2015-11-19 12:00:00,47.5,33.11,0.6970526315789474,38.56,0.8117894736842106,8.0,2016-12-19 00:00:00,0.7318464730290457,47.5,14.06,False
207.0,中环股份,002129.SZ,35.25,35.2499998991,2015-11-20 12:00:00,15.49,8.87,0.5726275016139444,10.13,0.6539703034215624,9.0,2016-12-19 00:00:00,0.8232971372161895,15.49,8.27,False
208.0,平潭发展,000592.SZ,20.0,19.9999999456,2015-11-23 12:00:00,24.08,10.68,0.4435215946843854,16.88,0.7009966777408638,9.0,2016-12-23 00:00:00,0.8033175355450237,24.08,6.78,False
209.0,日发精机,002520.SZ,10.0,9.9999999138,2015-12-02 11:30:00,24.26,21.93,0.903957131079967,22.03,0.9080791426215993,7.0,2016-12-19 00:00:00,0.8377212891511575,24.28,12.27,True
210.0,陕国投A,000563.SZ,32.0,31.9999999616,2015-11-24 17:00:00,12.79,7.14,0.5582486317435497,9.68,0.7568412822517592,8.0,2016-12-30 00:00:00,1.3935950413223142,12.79,7.48,False
211.0,香江控股,600162.SH,24.5,24.49999734,2015-12-09 12:00:00,8.91,5.94,0.6666666666666667,6.02,0.6756453423120089,8.0,2016-12-19 00:00:00,1.0290697674418605,8.91,4.07,False
212.0,世茂股份,600823.SH,15.0,14.9999999139,2015-12-14 11:30:00,11.77,9.22,0.7833474936278676,9.89,0.8402718776550553,6.0,2016-12-26 00:00:00,1.0444893832153688,11.77,7.3,False
213.0,津膜科技,300334.SZ,3.988,3.9879998964,2015-11-24 16:00:00,30.16,23.57,0.7814986737400531,26.52,0.8793103448275862,4.0,2016-12-26 00:00:00,0.6874057315233786,30.16,18.21,False
214.0,游族网络,002174.SZ,5.265,5.26499919,2015-11-12 12:00:00,89.53,44.41,0.49603484865408237,89.1,0.9951971406232547,8.0,2017-01-04 00:00:00,0.8784511784511786,89.53,26.03,False
215.0,福达股份,603166.SH,10.3,10.2999999925,2015-12-18 12:00:00,27.2,17.21,0.6327205882352942,17.21,0.6327205882352942,5.0,2016-12-29 00:00:00,1.1601394538059266,27.2,16.58,False
216.0,*ST盐湖,000792.SZ,49.0,48.9999998916,2015-12-07 12:00:00,22.82,16.21,0.71034180543383,18.36,0.8045574057843996,8.0,2017-01-06 00:00:00,1.0566993464052288,22.82,19.37,False
217.0,二六三,002467.SZ,7.84,7.839999984,2015-12-04 12:00:00,15.68,10.19,0.6498724489795918,12.72,0.8112244897959184,8.0,2016-12-29 00:00:00,0.8427672955974841,15.68,10.68,False
218.0,同洲电子,002052.SZ,7.931582,6.2874,2015-11-19 12:00:00,13.66,7.97,0.5834553440702782,9.98,0.7306002928257687,5.0,2016-12-29 00:00:00,1.1743486973947896,13.66,11.72,False
219.0,苏宁环球,000718.SZ,38.0,37.999999922,2015-12-08 12:00:00,13.02,6.2,0.4761904761904762,10.04,0.771121351766513,8.0,2017-01-10 00:00:00,0.8256972111553784,13.02,8.19,False
220.0,风华高科,000636.SZ,1.854553,1.8545529537,2015-12-01 11:30:00,10.8,8.35,0.773148148148148,9.21,0.8527777777777777,5.0,2016-12-30 00:00:00,1.062975027144408,10.22,9.76,True
221.0,劲胜智能,300083.SZ,15.0,14.9999997537,2015-12-02 12:00:00,41.1,31.91,0.7763990267639902,31.91,0.7763990267639902,5.0,2016-12-30 00:00:00,0.9213412723284237,41.1,7.35,False
,,300083.SZ,,,2015-12-11 12:00:00,41.1,31.91,0.7763990267639902,31.91,0.7763990267639902,,2016-12-30 00:00:00,,41.1,7.35,False
222.0,节能风电,601016.SH,30.0,30.0,2015-12-18 12:00:00,16.37,9.47,0.5784972510690287,10.0,0.6108735491753207,8.0,2016-12-30 00:00:00,0.8895,16.37,8.85,False
223.0,万丰奥威,002085.SZ,17.5,17.4999998511,2015-12-14 12:00:00,35.4,12.84,0.36271186440677966,33.03,0.9330508474576272,2.0,2017-01-03 00:00:00,1.1816530426884648,35.4,19.56,False
224.0,华邦健康,002004.SZ,19.378541,19.3785344,2015-12-09 16:00:00,14.25,11.08,0.7775438596491228,12.8,0.8982456140350877,8.0,2017-01-03 00:00:00,0.7320312499999999,14.25,9.17,False
225.0,厦门象屿,600057.SH,15.0,14.9999998905,2015-12-22 11:30:00,13.05,11.1,0.8505747126436781,11.15,0.8544061302681992,7.0,2017-01-03 00:00:00,1.0358744394618835,13.08,11.55,True
226.0,荣盛发展,002146.SZ,51.3,50.31159984,2015-12-18 12:00:00,10.65,9.6,0.9014084507042253,9.6,0.9014084507042253,4.0,2017-01-03 00:00:00,0.84375,10.65,7.85,False
227.0,*ST美丽,000010.SZ,8.134,8.1339999976,2015-12-03 11:30:00,9.0,6.92,0.7688888888888888,7.12,0.7911111111111111,8.0,2017-02-07 00:00:00,1.0,9.02,7.12,True
228.0,中信重工,601608.SH,8.48,8.479999956,2015-12-24 12:00:00,7.23,4.15,0.5739972337482712,5.55,0.7676348547717842,7.0,2017-01-06 00:00:00,1.0365765765765766,7.23,5.73,False
229.0,兰石重装,603169.SH,12.5,12.4999998934,2015-12-23 12:00:00,18.75,15.71,0.8378666666666668,15.71,0.8378666666666668,5.0,2017-01-06 00:00:00,0.9452577975811585,18.75,13.36,False
230.0,正邦科技,002157.SZ,11.376736,11.376735867,2015-12-15 11:00:00,19.66,12.77,0.6495422177009156,17.3,0.8799593082400814,6.0,2017-01-05 00:00:00,1.1901751213872833,19.66,6.83,False
231.0,中国巨石,600176.SH,48.0,47.9999999772,2015-12-23 12:00:00,26.36,20.58,0.7807283763277693,20.61,0.7818664643399089,8.0,2017-01-09 00:00:00,1.0836487142164,26.39,10.01,True
232.0,君正集团,601216.SH,49.0,48.99999994,2015-12-21 11:00:00,11.85,9.19,0.7755274261603375,9.2,0.7763713080168776,7.0,2017-01-09 00:00:00,0.9869565217391305,11.84,4.53,True
233.0,三花智控,002050.SZ,4.0,3.9999999946,2015-12-15 12:00:00,9.67,6.52,0.6742502585315409,8.63,0.892450879007239,7.0,2017-01-11 00:00:00,1.1969872537659327,9.67,10.23,False
234.0,双环传动,002472.SZ,12.0,12.0,2015-12-16 12:00:00,27.49,18.53,0.674063295743907,24.0,0.8730447435431067,8.0,2017-01-12 00:00:00,0.9483333333333334,27.49,11.32,False
235.0,海伦钢琴,300329.SZ,2.155799852,2.155799852,2015-12-21 12:00:00,25.9,21.29,0.822007722007722,21.29,0.822007722007722,5.0,2017-01-12 00:00:00,0.7465476749647721,25.9,15.87,False
236.0,合康新能,300048.SZ,3.88,3.879999916,2015-12-15 12:00:00,19.1,15.65,0.819371727748691,15.86,0.8303664921465967,4.0,2017-01-13 00:00:00,1.0460277427490543,19.1,8.27,False
237.0,迪森股份,300335.SZ,7.5,7.499999847,2015-12-22 12:00:00,16.61,14.96,0.9006622516556292,16.3,0.9813365442504516,5.0,2017-01-16 00:00:00,1.0248490429447852,16.61,16.68,False
238.0,东方能源,000958.SZ,13.0,12.9999993347,2015-12-24 11:30:00,24.51,12.72,0.5189718482252141,19.19,0.7829457364341085,6.0,2017-01-06 00:00:00,0.7696717040125064,24.51,14.77,False
239.0,华域汽车,600741.SH,89.7,89.6999999175,2015-12-29 12:00:00,17.09,15.65,0.9157401989467525,15.75,0.9215915740198947,8.0,2017-01-16 00:00:00,1.0520634920634921,17.09,15.76,False
240.0,深天马A,000050.SZ,48.0,47.9999999358,2015-12-22 12:00:00,22.27,17.82,0.8001796138302649,17.82,0.8001796138302649,7.0,2017-01-17 00:00:00,1.1649831649831648,22.27,18.82,False
241.0,飞亚达,000026.SZ,6.0,5.9999999355,2015-12-15 12:00:00,16.09,12.79,0.7949036668738346,13.05,0.8110627719080175,5.0,2017-01-16 00:00:00,1.0153256704980842,16.09,13.15,False
242.0,凤凰股份,600716.SH,15.15,15.1286005944,2015-12-25 12:00:00,10.69,7.74,0.7240411599625819,7.74,0.7240411599625819,7.0,2017-01-19 00:00:00,0.8888888888888888,10.69,6.88,False
,,600716.SH,,,2016-01-05 12:00:00,10.45,7.74,0.7406698564593303,7.74,0.7406698564593303,,2017-01-19 00:00:00,,10.45,6.88,False
243.0,克明面业,002661.SZ,12.0,11.9999997,2015-12-28 12:00:00,55.26,30.4,0.5501266739051756,45.0,0.8143322475570033,9.0,2017-01-19 00:00:00,1.0297777777777777,55.26,15.28,False
244.0,山西证券,002500.SZ,40.0,38.781,2015-12-18 12:00:00,16.44,9.4,0.5717761557177615,12.51,0.760948905109489,6.0,2017-01-20 00:00:00,0.894484412470024,16.44,10.99,False
245.0,福星股份,000926.SZ,30.0,29.9999999184,2015-12-25 12:00:00,16.85,10.33,0.6130563798219584,12.66,0.7513353115727003,9.0,2017-01-23 00:00:00,0.962085308056872,16.85,11.93,False
246.0,荣盛石化,002493.SZ,40.0,40.0,2015-12-28 12:00:00,15.47,8.64,0.5585003232062056,12.5,0.8080155138978669,6.0,2017-01-25 00:00:00,1.1988,15.47,14.96,False
247.0,掌趣科技,300315.SZ,15.0,14.9999999859,2015-12-30 12:00:00,14.22,12.74,0.8959212376933896,12.99,0.9135021097046413,5.0,2017-07-03 00:00:00,0.6256351039260969,14.22,8.11,False
248.0,美锦能源,000723.SZ,24.72,24.72,2015-12-18 15:00:00,12.22,4.1,0.3355155482815057,7.68,0.6284779050736496,6.0,2017-02-17 00:00:00,1.5924479166666667,12.21,12.23,True
249.0,神州高铁,000008.SZ,22.0495,22.04949997,2015-12-18 11:30:00,12.58,6.45,0.5127186009538951,8.5,0.6756756756756757,6.0,2017-02-06 00:00:00,1.0164705882352942,12.55,8.64,True
250.0,西水股份,600291.SH,69.0721682334,69.072168044,2015-12-23 12:00:00,30.41,20.31,0.6678724103913186,24.2,0.7957908582703058,6.0,2017-02-06 00:00:00,0.6913636363636363,30.41,16.7,False
251.0,雷曼光电,300162.SZ,1.6,1.599948,2015-11-27 12:00:00,23.86,24.07,1.0088013411567478,25.2,1.0561609388097233,3.0,2016-03-07 00:00:00,0.7658730158730159,23.86,19.3,False
